Name,Season,Team,PA,BB_rt,K_rt,ISO,wRC_plus,playerid
Eric Hosmer,2021,SDP,565,8.5%,17.5%,0.126,102,3516
Tommy Pham,2021,SDP,561,13.9%,22.8%,0.154,102,2967
Josh Harrison,2021,- - -,558,5.6%,13.4%,0.121,103,8202
Willy Adames,2021,- - -,555,10.3%,28.1%,0.219,119,15986
Adam Duvall,2021,- - -,555,6.3%,31.4%,0.263,103,10950
Kevin Newman,2021,PIT,554,4.9%,7.4%,0.083,54,17696
Tim Anderson,2021,CHW,551,4.0%,21.6%,0.159,120,15172
Mookie Betts,2021,LAD,550,12.4%,15.6%,0.223,131,13611
Josh Rojas,2021,ARI,550,10.5%,24.9%,0.147,102,19734
Brandon Crawford,2021,SFG,549,10.2%,19.1%,0.224,139,5343
Javier Baez,2021,- - -,547,5.1%,33.6%,0.229,116,12979
C.J. Cron,2021,COL,547,11.0%,21.4%,0.249,127,12546
Fernando Tatis Jr.,2021,SDP,546,11.4%,28.0%,0.328,156,19709
Randal Grichuk,2021,TOR,545,5.0%,20.9%,0.182,85,10243
Pavin Smith,2021,ARI,545,7.7%,19.4%,0.137,96,19892
Josh Donaldson,2021,MIN,543,13.6%,21.0%,0.228,124,5038
Hunter Dozier,2021,KCR,543,7.9%,28.4%,0.179,82,15117
Yandy Diaz,2021,TBR,541,12.8%,15.7%,0.131,111,16578
Lourdes Gurriel Jr.,2021,TOR,541,5.9%,18.9%,0.190,107,19238
Elvis Andrus,2021,OAK,541,5.7%,15.0%,0.076,72,8709
Miguel Rojas,2021,MIA,539,6.9%,13.7%,0.127,97,7802
Andrew Benintendi,2021,KCR,538,6.7%,18.0%,0.166,106,17901
David Peralta,2021,ARI,538,8.6%,17.1%,0.144,93,2136
Tyler O'Neill,2021,STL,537,7.1%,31.3%,0.274,144,15711
J.T. Realmuto,2021,PHI,537,8.9%,24.0%,0.176,108,11739
Ian Happ,2021,CHC,535,11.6%,29.2%,0.209,103,17919
Joey Votto,2021,CIN,533,14.4%,23.8%,0.297,140,4314
Raimel Tapia,2021,COL,533,7.5%,13.1%,0.099,76,14350
