Name,Season,Team,PA,BB_rt,K_rt,ISO,wRC_plus,playerid
Jacob Stallings,2019,PIT,210,7.6%,19.0%,0.120,82,13723
David Bote,2018,CHC,210,9.0%,28.6%,0.168,96,14593
Roberto Perez,2018,CLE,210,10.0%,33.3%,0.095,41,2900
Ildemaro Vargas,2019,ARI,211,4.3%,11.4%,0.144,81,13324
Kevan Smith,2019,LAA,211,7.6%,17.5%,0.141,88,12284
Bo Bichette,2019,TOR,212,6.6%,23.6%,0.260,142,19612
Mike Freeman,2019,CLE,213,10.3%,28.6%,0.113,103,11241
Pedro Severino,2018,WSN,213,8.5%,22.1%,0.079,32,14523
Andrew Knapp,2018,PHI,215,11.2%,34.9%,0.118,68,14942
Tony Wolters,2018,COL,216,12.0%,15.3%,0.115,46,11470
Brian McCann,2018,HOU,216,8.8%,18.5%,0.127,82,4810
Rajai Davis,2018,CLE,216,5.1%,22.2%,0.056,51,3708
Jeff Mathis,2018,ARI,218,9.2%,30.3%,0.072,46,3448
Carlos Asuaje,2018,SDP,218,11.0%,21.1%,0.085,59,15197
Josh Donaldson,2018,- - -,219,14.2%,24.7%,0.203,118,5038
Erik Kratz,2018,MIL,219,2.7%,18.3%,0.118,71,4403
Victor Reyes,2018,DET,219,2.3%,21.0%,0.066,37,15487
Ji-Man Choi,2018,- - -,221,11.8%,24.9%,0.242,136,5452
Adeiny Hechavarria,2019,- - -,221,6.3%,21.7%,0.202,94,10459
Brandon Guyer,2018,CLE,221,6.8%,21.7%,0.165,83,2636
Isiah Kiner-Falefa,2019,TEX,222,6.3%,22.1%,0.084,57,16512
John Ryan Murphy,2018,ARI,223,4.9%,31.8%,0.173,61,10346
Grayson Greiner,2019,DET,224,5.8%,31.3%,0.106,45,17062
Aristides Aquino,2019,CIN,225,7.1%,26.7%,0.317,117,15482
Austin Slater,2018,SFG,225,8.9%,30.7%,0.055,80,16153
Jake Lamb,2019,ARI,226,14.2%,24.3%,0.160,79,13329
Donovan Solano,2019,SFG,228,4.4%,21.5%,0.126,116,8623
Jake Cave,2019,MIN,228,9.2%,31.1%,0.197,114,14477
Keon Broxton,2019,- - -,228,8.8%,45.6%,0.108,39,9253
Ender Inciarte,2019,ATL,230,11.3%,17.8%,0.151,92,4922
Joey Rickard,2018,BAL,230,6.5%,23.9%,0.169,94,13277
Luke Maile,2018,TOR,231,10.8%,29.0%,0.119,95,13355
Guillermo Heredia,2019,TBR,231,7.8%,26.0%,0.137,84,18721
Johnny Field,2018,- - -,233,3.0%,30.9%,0.181,78,15048
Dixon Machado,2018,DET,233,6.0%,17.6%,0.084,48,11472
Alex Avila,2018,ARI,234,15.8%,38.5%,0.139,66,7476
Jake Marisnick,2018,HOU,235,6.4%,35.7%,0.188,85,11339
Domingo Santana,2018,MIL,235,8.5%,32.8%,0.147,98,10348
Mark Reynolds,2018,WSN,235,10.2%,27.2%,0.228,112,7619
Curt Casali,2019,CIN,236,10.6%,25.0%,0.159,88,12510
Ehire Adrianza,2019,MIN,236,8.5%,16.9%,0.144,102,8418
Tyler White,2018,HOU,237,10.1%,20.7%,0.257,144,15564
Jarrod Dyson,2018,ARI,237,11.4%,14.3%,0.068,47,4866
Daniel Robertson,2019,TBR,237,10.1%,24.9%,0.082,73,14145
Matt Joyce,2019,ATL,238,16.0%,18.9%,0.155,127,3353
Austin Barnes,2018,LAD,238,13.0%,28.2%,0.085,77,12158
Jake Lamb,2018,ARI,238,10.9%,27.3%,0.126,77,13329
Austin Romine,2019,NYY,240,4.2%,20.8%,0.158,96,5491
Gordon Beckham,2019,DET,240,5.4%,28.3%,0.157,67,9015
Addison Russell,2019,CHC,241,8.3%,24.1%,0.153,79,14106
Adam Haseley,2019,PHI,242,5.8%,24.8%,0.131,87,19878
Austin Barnes,2019,LAD,242,9.5%,23.1%,0.137,67,12158
Francisco Mejia,2019,SDP,244,5.3%,23.0%,0.173,97,16403
Jeff Mathis,2019,TEX,244,6.1%,35.7%,0.066,2,3448
Matt Joyce,2018,OAK,246,14.2%,21.5%,0.145,91,3353
Clint Frazier,2019,NYY,246,6.5%,28.5%,0.222,108,15983
Hernan Perez,2019,MIL,246,4.5%,26.8%,0.151,62,5751
Jace Peterson,2018,- - -,246,12.6%,23.6%,0.124,78,12325
Aledmys Diaz,2019,HOU,247,10.5%,11.3%,0.195,118,15937
Phillip Ervin,2018,CIN,247,8.1%,24.3%,0.151,94,14738
Ryan Cordell,2019,CHW,247,7.7%,27.9%,0.134,71,15181
Jeff McNeil,2018,NYM,248,5.6%,9.7%,0.142,136,15362
Adam Engel,2019,CHW,248,5.6%,31.5%,0.141,83,15082
Johan Camargo,2019,ATL,248,6.0%,17.3%,0.151,66,14950
Hunter Pence,2018,SFG,248,4.4%,23.8%,0.106,59,8252
Lewis Brinson,2019,MIA,248,5.2%,29.8%,0.049,25,14352
Russell Martin,2019,LAD,249,12.0%,24.1%,0.110,82,4616
Luis Urias,2019,SDP,249,10.0%,22.5%,0.102,82,16622
Max Stassi,2018,HOU,250,9.2%,29.6%,0.167,100,10059
Tim Locastro,2019,ARI,250,5.6%,17.6%,0.090,90,15124
Mikie Mahtook,2018,DET,250,8.4%,26.4%,0.157,70,13130
Steve Pearce,2018,- - -,251,11.6%,16.3%,0.228,141,9957
Jose Reyes,2018,NYM,251,8.8%,15.5%,0.132,61,1736
Welington Castillo,2019,CHW,251,6.4%,29.5%,0.209,77,3256
Pablo Sandoval,2018,SFG,252,7.5%,20.6%,0.170,97,5409
Zack Cozart,2018,LAA,253,7.5%,16.6%,0.143,81,2616
Brandon Nimmo,2019,NYM,254,18.1%,28.0%,0.186,115,12927
Brad Miller,2018,- - -,254,8.7%,32.3%,0.165,98,12775
Aaron Hicks,2019,NYY,255,12.2%,28.2%,0.208,103,5297
Greg Allen,2019,CLE,256,4.3%,20.7%,0.117,67,16623
Justin Upton,2019,LAA,256,12.5%,30.5%,0.201,89,5222
Jorge Soler,2018,KCR,257,10.9%,26.8%,0.202,123,14221
Phillip Ervin,2019,CIN,260,6.9%,24.2%,0.195,100,14738
Josh VanMeter,2019,CIN,260,11.2%,21.5%,0.171,88,15170
Martin Prado,2019,MIA,260,4.6%,15.8%,0.061,49,3312
Jordan Luplow,2019,CLE,261,12.6%,23.4%,0.276,141,16424
Renato Nunez,2018,- - -,261,7.3%,23.8%,0.161,101,14503
Andrew McCutchen,2019,PHI,262,16.4%,21.0%,0.201,120,9847
Joey Wendle,2019,TBR,263,5.3%,17.9%,0.109,73,13853
Lourdes Gurriel Jr.,2018,TOR,263,3.4%,22.4%,0.165,103,19238
Leonys Martin,2019,CLE,264,8.0%,29.5%,0.144,64,11846
Austin Romine,2018,NYY,265,6.4%,25.3%,0.174,92,5491
Austin Nola,2019,SEA,267,8.6%,23.6%,0.185,114,15941
Matt Beaty,2019,LAD,268,6.3%,12.3%,0.193,101,17710
Tyler Austin,2018,- - -,268,7.1%,35.4%,0.250,104,11850
Cameron Maybin,2019,NYY,269,11.2%,26.8%,0.209,128,5223
Christian Vazquez,2018,BOS,269,4.8%,15.2%,0.076,42,9774
Jorge Bonifacio,2018,KCR,270,10.7%,26.3%,0.136,83,12174
Travis Shaw,2019,MIL,270,13.3%,33.0%,0.113,47,11982
David Dahl,2018,COL,271,7.0%,25.1%,0.261,111,13744
Jordy Mercer,2019,DET,271,4.8%,21.0%,0.168,94,6547
Matt Wieters,2018,WSN,271,11.1%,16.6%,0.136,89,4298
Steven Souza Jr.,2018,ARI,272,10.3%,27.6%,0.149,84,5667
Devin Mesoraco,2018,- - -,274,9.1%,19.0%,0.176,91,5666
Jason Castro,2019,MIN,275,12.0%,32.0%,0.203,103,8722
Leury Garcia,2018,CHW,275,3.3%,25.1%,0.105,86,5913
Billy McKinney,2019,TOR,276,6.9%,26.4%,0.207,79,15654
Elias Diaz,2018,PIT,277,7.6%,14.4%,0.167,114,11680
Kevin Plawecki,2018,NYM,277,10.1%,23.5%,0.160,92,13807
Eric Thames,2018,MIL,278,10.4%,34.9%,0.259,105,3711
Melky Cabrera,2018,CLE,278,7.2%,13.7%,0.140,103,4022
Victor Caratini,2019,CHC,279,10.4%,21.1%,0.180,106,14968
Corey Dickerson,2019,- - -,279,5.7%,20.1%,0.262,126,10762
Tony Kemp,2019,- - -,279,8.2%,16.8%,0.167,76,14894
Josh Naylor,2019,SDP,279,9.0%,22.9%,0.154,90,18839
Tyler White,2019,- - -,279,12.9%,28.0%,0.096,70,15564
Stephen Vogt,2019,SFG,280,7.1%,23.6%,0.227,106,5000
Caleb Joseph,2018,BAL,280,3.6%,24.3%,0.102,54,7087
Tom Murphy,2019,SEA,281,6.8%,31.0%,0.262,126,13499
Ian Kinsler,2019,SDP,281,6.8%,19.2%,0.151,71,6195
Steven Duggar,2019,SFG,281,5.7%,27.8%,0.107,63,17719
Dylan Moore,2019,SEA,282,8.9%,33.0%,0.182,88,18042
Danny Valencia,2018,BAL,282,7.8%,18.8%,0.145,94,6364
Mitch Haniger,2019,SEA,283,10.6%,28.6%,0.244,107,14274
Franmil Reyes,2018,SDP,285,8.4%,28.1%,0.218,129,14566
Wilmer Flores,2019,ARI,285,5.3%,10.9%,0.170,119,5827
Jose Osuna,2019,PIT,285,6.3%,16.8%,0.192,96,12937
Aaron Altherr,2018,PHI,285,12.6%,31.9%,0.152,74,11270
Juan Lagares,2019,NYM,285,7.7%,26.3%,0.112,61,5384
Jon Berti,2019,MIA,287,8.4%,25.4%,0.133,104,12037
Sandy Leon,2018,BOS,288,5.2%,26.0%,0.102,34,5273
Dawel Lugo,2019,DET,288,2.8%,20.5%,0.136,66,14713
Luis Valbuena,2018,LAA,288,6.6%,34.7%,0.135,56,4969
Mike Zunino,2019,TBR,289,6.9%,33.9%,0.147,46,13265
Adalberto Mondesi,2018,KCR,291,3.8%,26.5%,0.222,113,13769
Greg Allen,2018,CLE,291,4.8%,19.9%,0.087,76,16623
Victor Reyes,2019,DET,292,4.8%,21.9%,0.127,101,15487
Ben Gamel,2018,SEA,293,10.6%,20.8%,0.097,107,12160
Tyler Naquin,2019,CLE,294,4.8%,22.4%,0.179,105,13359
Ronny Rodriguez,2019,DET,294,4.4%,27.9%,0.217,73,11875
Byron Buxton,2019,MIN,295,6.4%,23.1%,0.251,112,14161
Brock Holt,2019,BOS,295,9.5%,19.3%,0.104,103,9345
Tony Kemp,2018,HOU,295,10.8%,14.9%,0.129,110,14894
Ronald Guzman,2019,TEX,295,10.8%,29.5%,0.195,80,14388
Mike Tauchman,2019,NYY,296,11.5%,24.0%,0.227,128,15274
Tyler Flowers,2018,ATL,296,11.8%,25.7%,0.131,94,9134
Pablo Sandoval,2019,SFG,296,6.1%,22.6%,0.239,110,5409
Joey Gallo,2019,TEX,297,17.5%,38.4%,0.344,144,14128
Austin Riley,2019,ATL,297,5.4%,36.4%,0.245,85,18360
Miguel Sano,2018,MIN,299,10.4%,38.5%,0.199,83,12164
Gerardo Parra,2019,- - -,301,6.3%,19.6%,0.157,74,8553
Rosell Herrera,2018,- - -,302,6.3%,18.9%,0.083,63,11611
Nick Hundley,2018,SFG,305,7.2%,27.9%,0.167,91,3376
Derek Dietrich,2019,CIN,306,9.2%,24.2%,0.275,100,10542
David Fletcher,2018,LAA,307,4.9%,11.1%,0.088,86,17992
Jake Cave,2018,MIN,309,5.8%,33.0%,0.208,109,14477
Kurt Suzuki,2019,WSN,309,6.5%,11.7%,0.221,105,8259
Chris Owings,2018,ARI,309,7.8%,24.3%,0.096,51,10030
Richie Martin,2019,BAL,309,4.5%,26.9%,0.113,50,17736
Tyler Flowers,2019,ATL,310,10.0%,33.9%,0.185,87,9134
Alen Hanson,2018,SFG,310,2.9%,22.9%,0.173,87,12926
Greg Bird,2018,NYY,311,9.6%,25.1%,0.188,82,14131
David Freese,2018,- - -,312,7.7%,23.1%,0.175,125,9549
John Hicks,2018,DET,312,7.1%,26.9%,0.142,93,12547
Hunter Pence,2019,TEX,316,8.2%,21.8%,0.255,128,8252
Brian McCann,2019,ATL,316,9.8%,16.8%,0.162,88,4810
Jake Marisnick,2019,HOU,318,5.3%,29.9%,0.178,85,11339
Nicky Delmonico,2018,CHW,318,8.5%,25.2%,0.158,84,13157
Carlos Correa,2019,HOU,321,10.9%,23.4%,0.289,142,14162
Tommy La Stella,2019,LAA,321,6.2%,8.7%,0.192,119,12371
Adeiny Hechavarria,2018,- - -,321,5.0%,18.1%,0.098,68,10459
Omar Narvaez,2018,CHW,322,11.8%,20.2%,0.154,121,13338
Charlie Culberson,2018,ATL,322,6.5%,26.4%,0.196,107,3298
Willy Adames,2018,TBR,323,9.6%,29.4%,0.128,110,15986
Ryan Zimmerman,2018,WSN,323,9.3%,17.0%,0.222,118,4220
Austin Hedges,2018,SDP,326,6.4%,27.6%,0.198,90,12976
Brandon Lowe,2019,TBR,327,7.6%,34.6%,0.243,127,18882
Garrett Hampson,2019,COL,327,7.3%,26.9%,0.137,64,19262
Tim Beckham,2019,SEA,328,6.4%,31.1%,0.224,99,7949
Jonathan Lucroy,2019,- - -,328,8.2%,15.5%,0.123,74,7870
Cory Spangenberg,2018,SDP,329,7.6%,32.8%,0.128,83,12294
Yairo Munoz,2018,STL,329,9.1%,21.6%,0.137,107,16313
Cheslor Cuthbert,2019,KCR,330,5.8%,20.3%,0.133,74,10473
JT Riddle,2018,MIA,332,6.0%,20.2%,0.146,79,17642
Elias Diaz,2019,PIT,332,6.9%,16.9%,0.066,61,11680
Chad Pinder,2018,OAK,333,8.1%,26.4%,0.178,115,15191
Jorge Polanco,2018,MIN,333,7.5%,18.6%,0.139,111,13152
Jay Bruce,2019,- - -,333,5.7%,24.6%,0.306,98,9892
Matt Adams,2019,WSN,333,6.0%,34.5%,0.239,85,9393
JaCoby Jones,2019,DET,333,8.1%,28.2%,0.195,92,14818
John Hicks,2019,DET,333,3.9%,32.7%,0.169,57,12547
Jesse Winker,2018,CIN,334,14.7%,13.8%,0.132,127,13590
Hernan Perez,2018,MIL,334,5.1%,21.3%,0.133,80,5751
Dexter Fowler,2018,STL,334,11.4%,22.5%,0.118,63,4062
Mitch Moreland,2019,BOS,335,10.1%,22.1%,0.255,112,3086
Mitch Garver,2018,MIN,335,8.7%,21.5%,0.146,104,15161
Yonder Alonso,2019,- - -,335,11.6%,20.9%,0.147,66,2530
Manny Pina,2018,MIL,337,6.2%,18.4%,0.144,86,2829
Matt Adams,2018,- - -,337,8.0%,21.7%,0.239,108,9393
Willie Calhoun,2019,TEX,337,6.8%,15.7%,0.256,110,17838
Guillermo Heredia,2018,SEA,337,9.5%,15.4%,0.106,88,18721
Daniel Robertson,2018,TBR,340,12.6%,22.6%,0.152,128,14145
Pedro Severino,2019,BAL,341,8.5%,21.4%,0.170,94,14523
A.J. Pollock,2019,LAD,342,6.7%,21.6%,0.201,107,9256
Josh Phegley,2019,OAK,342,4.4%,18.4%,0.172,83,9308
Lourdes Gurriel Jr.,2019,TOR,343,5.8%,25.1%,0.264,124,19238
Wil Myers,2018,SDP,343,8.7%,27.4%,0.192,107,10047
Didi Gregorius,2019,NYY,344,4.9%,15.4%,0.204,84,6012
Yandy Diaz,2019,TBR,347,10.1%,17.6%,0.208,118,16578
Austin Hedges,2019,SDP,347,7.8%,31.4%,0.135,49,12976
Robinson Cano,2018,SEA,348,9.2%,13.5%,0.168,135,3269
Keston Hiura,2019,MIL,348,7.2%,30.7%,0.268,139,20003
Tommy Edman,2019,STL,349,4.6%,17.5%,0.196,124,19470
Daniel Murphy,2018,- - -,351,5.7%,11.4%,0.155,111,4316
Adam Frazier,2018,PIT,352,8.2%,15.1%,0.179,116,15223
Russell Martin,2018,TOR,352,15.9%,23.3%,0.131,91,4616
Chris Davis,2019,BAL,352,11.1%,39.5%,0.147,58,9272
Leonys Martin,2018,- - -,353,8.5%,21.8%,0.170,101,11846
Billy Hamilton,2019,- - -,353,9.1%,24.6%,0.057,49,10199
David Bote,2019,CHC,356,12.4%,26.1%,0.165,105,14593
Ben Gamel,2019,MIL,356,11.2%,29.2%,0.125,87,12160
Yan Gomes,2019,WSN,358,10.6%,23.5%,0.166,80,9627
Mark Trumbo,2018,BAL,358,6.7%,24.3%,0.191,107,6876
Mitch Garver,2019,MIN,359,11.4%,24.2%,0.357,155,15161
Logan Morrison,2018,MIN,359,9.5%,22.3%,0.182,75,9205
Chris Iannetta,2018,COL,360,13.9%,24.2%,0.161,85,8267
Jay Bruce,2018,NYM,361,11.4%,20.8%,0.147,88,9892
Stevie Wilkerson,2019,BAL,361,6.1%,29.9%,0.158,73,16041
Albert Almora Jr.,2019,CHC,363,4.4%,17.1%,0.145,62,14109
Curtis Granderson,2019,MIA,363,11.3%,27.0%,0.174,70,4747
Tucker Barnhart,2019,CIN,364,12.1%,22.8%,0.149,78,10200
Carson Kelly,2019,ARI,365,13.2%,21.6%,0.232,106,13620
Luis Arraez,2019,MIN,366,9.8%,7.9%,0.104,126,18568
Ehire Adrianza,2018,MIN,366,6.6%,22.4%,0.128,83,8418
Orlando Arcia,2018,MIL,366,4.1%,23.8%,0.072,55,13185
Shohei Ohtani,2018,LAA,367,10.1%,27.8%,0.279,149,19755
Kevin Kiermaier,2018,TBR,367,6.8%,24.8%,0.154,79,11038
Brock Holt,2018,BOS,367,10.1%,19.9%,0.134,110,9345
Logan Forsythe,2019,TEX,367,12.0%,27.2%,0.126,75,7185
Lucas Duda,2018,- - -,367,7.6%,27.8%,0.177,96,2502
Yordan Alvarez,2019,HOU,369,14.1%,25.5%,0.342,176,19556
Jesus Aguilar,2019,- - -,369,11.7%,22.0%,0.153,89,11342
Harold Castro,2019,DET,369,2.4%,23.3%,0.093,79,14691
Howie Kendrick,2019,WSN,370,7.3%,13.2%,0.228,147,4229
Adam Eaton,2018,WSN,370,10.3%,17.3%,0.110,123,11205
Chad Pinder,2019,OAK,370,5.4%,23.8%,0.176,87,15191
Ryan O'Hearn,2019,KCR,370,10.5%,26.8%,0.174,68,16442
Fernando Tatis Jr.,2019,SDP,372,8.1%,29.6%,0.272,151,19709
Greg Garcia,2019,SDP,372,14.2%,22.3%,0.106,98,10951
Jose Martinez,2019,STL,373,9.4%,22.0%,0.141,102,7996
Gary Sanchez,2018,NYY,374,12.3%,25.1%,0.220,90,11442
Martin Maldonado,2019,- - -,374,8.6%,23.0%,0.165,76,6887
Josh Harrison,2018,PIT,374,4.8%,18.2%,0.113,77,8202
Austin Jackson,2018,- - -,375,6.9%,35.5%,0.081,73,9848
Jorge Alfaro,2018,PHI,377,4.8%,36.6%,0.145,95,12180
Alex Verdugo,2019,LAD,377,6.9%,13.0%,0.181,112,17027
Devon Travis,2018,TOR,378,4.2%,16.9%,0.148,77,13862
Neil Walker,2019,MIA,381,11.0%,20.2%,0.134,99,7539
Michael Chavis,2019,BOS,382,8.1%,33.2%,0.190,96,17321
Danny Jansen,2019,TOR,384,8.1%,20.6%,0.153,68,16535
Christian Villanueva,2018,SDP,384,6.0%,27.1%,0.214,104,11738
Jesse Winker,2019,CIN,384,9.9%,15.6%,0.204,111,13590
Cameron Maybin,2018,- - -,384,9.9%,19.5%,0.088,88,5223
Michael A. Taylor,2018,WSN,385,7.5%,30.1%,0.130,71,11489
Avisail Garcia,2018,CHW,385,5.2%,26.5%,0.202,92,5760
Jeimer Candelario,2019,DET,386,11.1%,25.6%,0.134,73,13621
Travis Jankowski,2018,SDP,387,9.6%,18.9%,0.086,91,13768
Kurt Suzuki,2018,ATL,388,5.7%,11.1%,0.173,107,8259
Jake Bauers,2018,TBR,388,13.9%,26.8%,0.183,97,15194
Hunter Dozier,2018,KCR,388,6.2%,28.1%,0.166,79,15117
Travis d'Arnaud,2019,- - -,391,8.2%,21.7%,0.182,100,7739
Joe Panik,2018,SFG,392,6.6%,7.7%,0.078,75,11936
Dwight Smith Jr.,2019,BAL,392,6.6%,20.9%,0.171,83,13473
Stephen Piscotty,2019,OAK,393,7.4%,21.4%,0.162,93,13367
Delino DeShields,2018,TEX,393,10.9%,21.1%,0.066,59,11379
J.P. Crawford,2019,SEA,396,10.9%,21.0%,0.145,87,15491
Isiah Kiner-Falefa,2018,TEX,396,7.1%,15.7%,0.096,79,16512
Melky Cabrera,2019,PIT,397,4.3%,10.3%,0.119,84,4022
Neil Walker,2018,NYY,398,10.6%,21.9%,0.135,82,7539
Jose Bautista,2018,- - -,399,16.8%,27.8%,0.175,106,1887
Jedd Gyorko,2018,STL,402,10.9%,19.2%,0.154,111,10816
Nicky Lopez,2019,KCR,402,4.5%,12.7%,0.084,56,19339
Tim Beckham,2018,BAL,402,6.7%,24.9%,0.144,80,7949
Curtis Granderson,2018,- - -,403,13.4%,26.3%,0.190,116,4747
Jose Peraza,2019,CIN,403,4.2%,14.4%,0.106,59,13593
Francisco Cervelli,2018,PIT,404,12.6%,20.8%,0.172,124,5275
Martin Maldonado,2018,- - -,404,4.0%,24.3%,0.126,72,6887
Mike Zunino,2018,SEA,405,5.9%,37.0%,0.209,83,13265
Anthony Santander,2019,BAL,405,4.7%,21.2%,0.216,97,14551
Harrison Bader,2019,STL,406,11.3%,28.8%,0.161,82,18030
Luis Rengifo,2019,LAA,406,9.9%,22.9%,0.126,83,19858
Lewis Brinson,2018,MIA,406,4.2%,29.6%,0.139,56,14352
Kolten Wong,2018,STL,407,7.6%,14.7%,0.139,99,12532
Delino DeShields,2019,TEX,408,9.3%,24.5%,0.098,72,11379
Carlos Gomez,2018,TBR,408,6.1%,25.2%,0.128,81,4881
Willson Contreras,2019,CHC,409,9.3%,24.9%,0.261,126,11609
Rowdy Tellez,2019,TOR,409,7.1%,28.4%,0.222,91,15679
Mike Yastrzemski,2019,SFG,411,7.8%,26.0%,0.245,120,14854
Mark Canha,2018,OAK,411,8.3%,21.4%,0.200,115,11445
Tony Wolters,2019,COL,411,8.8%,16.5%,0.067,63,11470
David Dahl,2019,COL,413,6.8%,26.6%,0.222,111,13744
Rio Ruiz,2019,BAL,413,9.7%,21.3%,0.143,79,14103
Chris Taylor,2019,LAD,414,8.9%,27.8%,0.199,106,13757
Nick Senzel,2019,CIN,414,7.2%,24.4%,0.171,87,19293
Wilson Ramos,2018,- - -,416,7.7%,19.2%,0.181,132,1433
Logan Forsythe,2018,- - -,416,9.9%,20.0%,0.059,71,7185
Christin Stewart,2019,DET,416,8.2%,24.8%,0.154,80,17714
Brandon Dixon,2019,DET,420,5.0%,32.4%,0.187,87,15214
Garrett Cooper,2019,MIA,421,7.8%,26.1%,0.165,111,15279
Dee Gordon,2019,SEA,421,4.3%,14.5%,0.084,77,8203
David Peralta,2019,ARI,423,8.3%,20.6%,0.186,105,2136
Daniel Descalso,2018,ARI,423,15.1%,26.0%,0.198,111,8392
Robinson Cano,2019,NYM,423,5.9%,16.3%,0.172,94,3269
Jake Bauers,2019,CLE,423,10.6%,27.2%,0.145,82,15194
Andrelton Simmons,2019,LAA,424,5.7%,8.7%,0.101,78,10847
Shohei Ohtani,2019,LAA,425,7.8%,25.9%,0.219,120,19755
Justin Turner,2018,LAD,426,11.0%,12.7%,0.205,154,5235
Robinson Chirinos,2018,TEX,426,10.6%,32.9%,0.197,102,3142
Harrison Bader,2018,STL,427,7.3%,29.3%,0.158,107,18030
Adam Duvall,2018,- - -,427,8.7%,27.4%,0.169,69,10950
Elvis Andrus,2018,TEX,428,6.5%,15.4%,0.111,76,8709
Ronald Guzman,2018,TEX,428,7.7%,28.3%,0.181,87,14388
Maikel Franco,2019,PHI,428,8.4%,14.3%,0.175,69,12179
Wilmer Flores,2018,NYM,429,6.8%,9.8%,0.150,102,5827
Cavan Biggio,2019,TOR,430,16.5%,28.6%,0.195,114,19252
Scott Schebler,2018,CIN,430,9.1%,23.0%,0.184,108,12225
Yan Gomes,2018,CLE,435,4.8%,27.4%,0.184,102,9627
Jordy Mercer,2018,PIT,436,7.3%,20.0%,0.129,85,6547
Robinson Chirinos,2019,HOU,437,11.7%,28.6%,0.205,112,3142
Miguel Sano,2019,MIN,439,12.5%,36.2%,0.329,138,12164
Manuel Margot,2019,SDP,441,8.6%,20.0%,0.153,84,14712
Hunter Renfroe,2018,SDP,441,6.8%,24.7%,0.256,114,15464
Eric Sogard,2019,- - -,442,8.6%,14.3%,0.167,115,7927
Kyle Seager,2019,SEA,443,9.9%,19.4%,0.229,111,9785
Joc Pederson,2018,LAD,443,9.0%,19.2%,0.273,126,11899
Adalberto Mondesi,2019,KCR,443,4.3%,29.8%,0.161,81,13769
Gerardo Parra,2018,COL,443,7.2%,16.9%,0.087,81,8553
Yasiel Puig,2018,LAD,444,8.1%,19.6%,0.227,123,14225
Buster Posey,2019,SFG,445,7.6%,16.0%,0.111,84,9166
Gary Sanchez,2019,NYY,446,9.0%,28.0%,0.293,116,11442
Harold Ramirez,2019,MIA,446,4.0%,20.4%,0.140,92,14387
Aaron Judge,2019,NYY,447,14.3%,31.5%,0.267,141,15640
Ryan Braun,2018,MIL,447,7.6%,19.0%,0.215,106,3410
Brandon Drury,2019,TOR,447,5.6%,25.3%,0.163,66,11615
Raimel Tapia,2019,COL,447,4.7%,22.4%,0.141,74,14350
Buster Posey,2018,SFG,448,10.0%,11.8%,0.098,106,9166
Nick Williams,2018,PHI,448,7.1%,24.8%,0.170,102,14330
Roberto Perez,2019,CLE,449,10.0%,28.3%,0.213,102,2900
Daniel Palka,2018,CHW,449,6.7%,34.1%,0.245,109,14897
Gorkys Hernandez,2018,SFG,451,6.0%,25.1%,0.157,83,4146
Evan Gattis,2018,HOU,451,7.3%,22.4%,0.226,99,11003
Aledmys Diaz,2018,TOR,452,5.1%,13.7%,0.190,102,15937
Yadier Molina,2019,STL,452,5.1%,12.8%,0.129,88,7007
Jarrod Dyson,2019,ARI,452,10.4%,19.0%,0.090,68,4866
J.D. Davis,2019,NYM,453,8.4%,21.4%,0.220,137,16219
Jonathan Lucroy,2018,OAK,454,6.4%,14.3%,0.084,72,7870
Brandon Belt,2018,SFG,456,10.7%,23.5%,0.160,107,10264
Wilmer Difo,2018,WSN,456,8.6%,18.0%,0.120,71,14320
Kris Bryant,2018,CHC,457,10.5%,23.4%,0.188,126,15429
James McCann,2018,DET,457,5.7%,25.4%,0.094,56,12859
Brian Goodwin,2019,LAA,458,8.3%,28.2%,0.208,106,12858
Eric Thames,2019,MIL,459,11.1%,30.5%,0.258,116,3711
Mitch Moreland,2018,BOS,459,10.9%,22.2%,0.188,101,3086
A.J. Pollock,2018,ARI,460,6.7%,21.7%,0.228,109,9256
Enrique Hernandez,2019,LAD,460,7.8%,21.1%,0.174,86,10472
Enrique Hernandez,2018,LAD,462,10.8%,16.9%,0.214,118,10472
Randal Grichuk,2018,TOR,462,5.8%,26.4%,0.257,115,10243
Ian Happ,2018,CHC,462,15.2%,36.1%,0.176,106,17919
Marwin Gonzalez,2019,MIN,463,6.7%,21.2%,0.151,94,5497
Adam Engel,2018,CHW,463,3.9%,27.9%,0.100,68,15082
Jose Iglesias,2018,DET,464,4.1%,10.1%,0.120,89,10231
Jonathan Schoop,2019,MIN,464,4.3%,25.0%,0.217,101,11265
Teoscar Hernandez,2019,TOR,464,9.7%,33.0%,0.242,102,13066
Addison Russell,2018,CHC,465,8.6%,21.3%,0.090,80,14106
Jorge Alfaro,2019,MIA,465,4.7%,33.1%,0.162,95,12180
Maikel Franco,2018,PHI,465,6.2%,13.3%,0.196,105,12179
Robbie Grossman,2018,MIN,465,12.9%,17.8%,0.111,109,5254
Colin Moran,2018,PIT,465,8.4%,17.6%,0.130,102,16909
JaCoby Jones,2018,DET,467,5.1%,30.4%,0.156,68,14818
Carlos Correa,2018,HOU,468,11.3%,23.7%,0.167,101,14162
Nomar Mazara,2019,TEX,469,6.0%,23.0%,0.200,94,14553
Nick Markakis,2019,ATL,469,10.0%,12.6%,0.135,101,5930
