Name,Season,Team,PA,BB_rt,K_rt,ISO,wRC_plus,playerid
Kevin Newman,2021,PIT,554,0.049,0.074,0.083,54,17696
Tim Anderson,2021,CHW,551,0.040,0.216,0.159,120,15172
Mookie Betts,2021,LAD,550,0.124,0.156,0.223,131,13611
Josh Rojas,2021,ARI,550,0.105,0.249,0.147,102,19734
Brandon Crawford,2021,SFG,549,0.102,0.191,0.224,139,5343
Javier Baez,2021,- - -,547,0.051,0.336,0.229,116,12979
C.J. Cron,2021,COL,547,0.110,0.214,0.249,127,12546
Fernando Tatis Jr.,2021,SDP,546,0.114,0.280,0.328,156,19709
Randal Grichuk,2021,TOR,545,0.050,0.209,0.182,85,10243
Pavin Smith,2021,ARI,545,0.077,0.194,0.137,96,19892
Josh Donaldson,2021,MIN,543,0.136,0.210,0.228,124,5038
Hunter Dozier,2021,KCR,543,0.079,0.284,0.179,82,15117
Yandy Diaz,2021,TBR,541,0.128,0.157,0.131,111,16578
Lourdes Gurriel Jr.,2021,TOR,541,0.059,0.189,0.190,107,19238
Elvis Andrus,2021,OAK,541,0.057,0.150,0.076,72,8709
Miguel Rojas,2021,MIA,539,0.069,0.137,0.127,97,7802
Andrew Benintendi,2021,KCR,538,0.067,0.180,0.166,106,17901
David Peralta,2021,ARI,538,0.086,0.171,0.144,93,2136
Tyler O'Neill,2021,STL,537,0.071,0.313,0.274,144,15711
J.T. Realmuto,2021,PHI,537,0.089,0.240,0.176,108,11739
Ian Happ,2021,CHC,535,0.116,0.292,0.209,103,17919
Joey Votto,2021,CIN,533,0.144,0.238,0.297,140,4314
Raimel Tapia,2021,COL,533,0.075,0.131,0.099,76,14350
Mike Yastrzemski,2021,SFG,532,0.096,0.246,0.233,106,14854
Miguel Sano,2021,MIN,532,0.111,0.344,0.243,110,12164
Austin Hays,2021,BAL,529,0.053,0.202,0.205,106,19363
Kyle Farmer,2021,CIN,529,0.042,0.183,0.153,91,14813
Michael A. Taylor,2021,KCR,528,0.063,0.273,0.112,77,11489
Trent Grisham,2021,SDP,527,0.102,0.226,0.171,103,18564
Starling Marte,2021,- - -,526,0.082,0.188,0.148,133,9241
Miguel Cabrera,2021,DET,526,0.076,0.224,0.129,92,1744
Francisco Lindor,2021,NYM,524,0.111,0.183,0.181,103,12916
Gleyber Torres,2021,NYY,516,0.097,0.202,0.107,94,16997
Avisail Garcia,2021,MIL,515,0.074,0.235,0.228,115,5760
Jed Lowrie,2021,OAK,512,0.096,0.211,0.153,100,4418
Nick Solak,2021,TEX,511,0.067,0.209,0.120,89,19294
Jose Iglesias,2021,- - -,511,0.041,0.147,0.120,91,10231
Jesus Aguilar,2021,MIA,510,0.090,0.182,0.198,112,11342
Michael Brantley,2021,HOU,508,0.065,0.104,0.126,123,4106
Jazz Chisholm Jr.,2021,MIA,507,0.067,0.286,0.177,98,20454
Jonathan Villar,2021,NYM,505,0.091,0.261,0.167,105,10071
Will Smith,2021,LAD,501,0.116,0.202,0.237,130,19197
Joey Wendle,2021,TBR,501,0.056,0.226,0.157,106,13853
Wil Myers,2021,SDP,500,0.108,0.282,0.179,109,10047
Christian Vazquez,2021,BOS,498,0.066,0.169,0.094,77,9774
Garrett Hampson,2021,COL,494,0.067,0.239,0.146,65,19262
Dominic Smith,2021,NYM,493,0.065,0.227,0.119,86,15653
Kolten Wong,2021,MIL,492,0.063,0.169,0.175,109,12532
Odubel Herrera,2021,PHI,492,0.059,0.157,0.156,93,11476
Max Kepler,2021,MIN,490,0.110,0.196,0.202,95,12144
Jesse Winker,2021,CIN,485,0.109,0.155,0.251,148,13590
