Name,Season,Team,PA,BB_rt,K_rt,ISO,wRC_plus,playerid
Max Kepler,2019,MIN,596,0.101,0.166,0.267,122,12144
Ben Zobrist,2018,CHC,520,0.106,0.115,0.134,123,7435
Matt Chapman,2019,OAK,670,0.109,0.219,0.257,125,16505
Ryan Braun,2019,MIL,508,0.067,0.207,0.220,117,3410
Ozzie Albies,2019,ATL,702,0.077,0.160,0.205,116,16556
Shin-Soo Choo,2019,TEX,660,0.118,0.250,0.190,112,3174
Gregory Polanco,2018,PIT,535,0.114,0.219,0.245,123,12907
J.T. Realmuto,2018,MIA,531,0.072,0.196,0.208,127,11739
Starling Marte,2019,PIT,586,0.043,0.160,0.208,118,9241
Jorge Polanco,2019,MIN,704,0.085,0.165,0.190,120,13152
Yasmani Grandal,2018,LAD,518,0.139,0.239,0.225,125,11368
Danny Santana,2019,TEX,511,0.049,0.295,0.251,111,10322
Stephen Piscotty,2018,OAK,605,0.069,0.188,0.223,126,13367
Travis Shaw,2018,MIL,587,0.133,0.184,0.239,119,11982
Didi Gregorius,2018,NYY,569,0.084,0.121,0.226,122,6012
Whit Merrifield,2018,KCR,707,0.086,0.161,0.134,119,11281
Francisco Lindor,2019,CLE,654,0.070,0.150,0.234,118,12916
Justin Smoak,2018,TOR,594,0.140,0.263,0.216,121,9054
Tommy Pham,2019,TBR,654,0.124,0.188,0.176,123,2967
Mike Moustakas,2019,MIL,584,0.091,0.168,0.262,113,4892
Justin Upton,2018,LAA,613,0.104,0.287,0.206,121,5222
Matt Kemp,2018,LAD,506,0.071,0.227,0.190,122,5631
Jed Lowrie,2018,OAK,680,0.115,0.188,0.181,124,4418
Andrew McCutchen,2018,- - -,682,0.139,0.213,0.169,121,9847
Javier Baez,2019,CHC,561,0.050,0.278,0.250,112,12979
C.J. Cron,2018,TBR,560,0.066,0.259,0.240,124,12546
Rhys Hoskins,2019,PHI,705,0.165,0.245,0.228,112,16472
Johan Camargo,2018,ATL,524,0.097,0.206,0.185,115,14950
Edwin Encarnacion,2018,CLE,579,0.109,0.228,0.228,116,2151
Eduardo Escobar,2018,- - -,631,0.082,0.200,0.217,117,6153
Paul Goldschmidt,2019,STL,682,0.114,0.243,0.216,117,9218
Christian Walker,2019,ARI,603,0.111,0.257,0.217,110,13419
Cody Bellinger,2018,LAD,632,0.109,0.239,0.210,120,15998
Nick Markakis,2018,ATL,705,0.102,0.113,0.143,114,5930
Brett Gardner,2019,NYY,550,0.095,0.196,0.253,115,9927
Jose Abreu,2019,CHW,693,0.052,0.219,0.219,115,15676
Eloy Jimenez,2019,CHW,504,0.060,0.266,0.246,115,17484
Joey Gallo,2018,TEX,577,0.128,0.359,0.292,108,14128
Kyle Schwarber,2018,CHC,510,0.153,0.275,0.229,115,16478
Michael Conforto,2018,NYM,638,0.132,0.249,0.204,119,16376
Brian Anderson,2019,MIA,520,0.085,0.219,0.207,114,18289
Adam Eaton,2019,WSN,656,0.099,0.162,0.148,108,11205
Eduardo Escobar,2019,ARI,699,0.072,0.186,0.242,108,6153
Jurickson Profar,2018,TEX,594,0.091,0.148,0.204,107,10815
Corey Dickerson,2018,PIT,533,0.039,0.150,0.175,114,10762
Corey Seager,2019,LAD,541,0.081,0.181,0.211,112,13624
Whit Merrifield,2019,KCR,735,0.061,0.171,0.160,110,11281
Eddie Rosario,2018,MIN,592,0.051,0.176,0.191,114,12155
Matt Olson,2018,OAK,660,0.106,0.247,0.207,119,14344
George Springer,2018,HOU,620,0.103,0.197,0.169,119,12856
J.T. Realmuto,2019,PHI,593,0.069,0.207,0.217,107,11739
Kevin Newman,2019,PIT,531,0.053,0.117,0.138,109,17696
Mallex Smith,2018,TBR,544,0.086,0.180,0.110,118,13608
Franmil Reyes,2019,- - -,548,0.086,0.285,0.263,111,14566
Joey Wendle,2018,TBR,545,0.068,0.176,0.136,117,13853
Jose Abreu,2018,CHW,553,0.067,0.197,0.208,114,15676
Starling Marte,2018,PIT,606,0.058,0.180,0.182,112,9241
Marcell Ozuna,2019,STL,549,0.113,0.208,0.231,110,10324
Josh Bell,2018,PIT,583,0.132,0.178,0.150,111,13145
Jonathan Villar,2019,BAL,714,0.085,0.246,0.179,107,10071
Manny Machado,2019,SDP,661,0.098,0.194,0.206,109,11493
Chris Taylor,2018,LAD,604,0.091,0.295,0.190,113,13757
Jose Ramirez,2019,CLE,542,0.096,0.137,0.224,108,13510
Avisail Garcia,2019,TBR,530,0.058,0.236,0.182,113,5760
Kolten Wong,2019,STL,549,0.086,0.151,0.138,109,12532
Carlos Santana,2018,PHI,679,0.162,0.137,0.186,108,2396
Brian Anderson,2018,MIA,670,0.093,0.193,0.127,113,18289
Daniel Vogelbach,2019,SEA,558,0.165,0.267,0.232,112,14130
Joey Votto,2019,CIN,608,0.125,0.202,0.150,98,4314
Asdrubal Cabrera,2018,- - -,592,0.069,0.201,0.196,111,4962
Christian Vazquez,2019,BOS,521,0.063,0.194,0.201,102,9774
Asdrubal Cabrera,2019,- - -,514,0.111,0.200,0.181,98,4962
Trea Turner,2018,WSN,740,0.093,0.178,0.145,105,16252
Yasiel Puig,2019,- - -,611,0.072,0.218,0.191,100,14225
